#{"t_start": 1760973612.715055, "env_id": "Pendulum-v1"}
r,l,t
-1443.095249,200,0.154888
-967.985469,200,0.458122
-951.883564,200,0.851724
-1118.651399,200,1.171569
-1474.475752,200,1.304348
-1233.869107,200,1.591082
-1072.867729,200,1.878154
-1628.931978,200,2.250441
-1732.620975,200,2.587052
-1760.964994,200,2.714111
-1073.124799,200,3.055533
-860.545636,200,3.405657
-1310.717704,200,3.72091
-1283.488423,200,3.862806
-742.929104,200,4.203418
-1419.608832,200,4.500126
-1149.533445,200,4.804361
-886.441376,200,5.099514
-985.94127,200,5.237665
-975.815277,200,5.559311
-1303.328502,200,5.88044
-766.749948,200,6.304097
-999.245498,200,6.452496
-1060.921145,200,6.788047
-879.823466,200,7.211803
-1295.373747,200,7.517931
-854.69997,200,7.823237
-1361.552334,200,7.962529
-956.254101,200,8.253694
-1497.537606,200,8.577313
-1238.316782,200,8.885043
-1397.345455,200,9.034035
-775.025624,200,9.36955
-927.776945,200,9.70701
-1530.795142,200,10.027901
-1569.247458,200,10.333255
-695.042327,200,10.474872
-901.644391,200,10.803545
-1560.698482,200,11.111352
-1206.735915,200,11.430948
-755.855062,200,11.732771
-1489.302123,200,11.86555
-1582.061358,200,12.171401
-881.684517,200,12.483813
-888.897558,200,12.801806
-920.401458,200,12.95423
-1196.272831,200,13.310182
-1611.287509,200,13.624247
-1701.374766,200,13.947023
-953.886827,200,14.247797
-891.381032,200,14.392797
-1574.337973,200,14.685883
-1182.207552,200,15.007592
-1522.935068,200,15.313324
-1843.748431,200,15.44758
-1507.516928,200,15.738968
-1155.110729,200,16.021247
-1264.065271,200,16.367063
-1620.718975,200,16.669923
-1403.755034,200,16.798904
-1533.563352,200,17.107984
-1470.252426,200,17.459866
-1068.714749,200,17.803064
-889.950876,200,17.951928
-943.328913,200,18.267297
-1068.790669,200,18.570069
-1169.031404,200,18.878137
-1174.065932,200,19.181347
-928.092622,200,19.322511
-1799.432126,200,19.651678
-1481.908844,200,19.968103
-906.860299,200,20.273193
-942.669711,200,20.62562
-874.457563,200,20.783909
-879.058343,200,21.149492
-974.122033,200,21.465672
-865.768867,200,21.779461
-1219.813985,200,21.91006
-1752.418949,200,22.220233
-900.442101,200,22.514526
-1578.339905,200,22.835211
-1033.656457,200,23.238381
-1019.782748,200,23.372552
-1205.381444,200,23.677822
-896.327399,200,24.001734
-1754.067128,200,24.3009
-1538.760902,200,24.44232
-1844.338548,200,24.761786
-855.895681,200,25.094609
-1267.322084,200,25.40835
-865.089937,200,25.728346
-899.235667,200,25.876567
-883.027909,200,26.185589
-1344.055655,200,26.492542
-1648.705726,200,26.819552
-1098.065922,200,26.949879
-1259.340953,200,27.274264
-1114.999682,200,27.592715
-755.130793,200,27.924085
-984.755219,200,28.244196
-1058.649474,200,28.391587
-966.162342,200,28.695555
-1409.656629,200,29.001525
-960.048987,200,29.327689
-1790.901535,200,29.628814
-978.895626,200,29.767159
-1065.628528,200,30.058926
-1490.106382,200,30.345779
-767.747984,200,30.648165
-1162.226725,200,30.790695
-1483.467574,200,31.104323
-845.004435,200,31.423398
-1703.165414,200,31.736754
-888.447738,200,32.106222
-1079.281407,200,32.231013
-1289.530751,200,32.540825
-1461.929616,200,32.849963
-873.124142,200,33.218301
-1724.472864,200,33.343523
-801.127353,200,33.709712
-998.901632,200,34.06598
-803.099446,200,34.384968
-899.876183,200,34.701115
-1718.570954,200,34.838379
-1282.628847,200,35.175392
-935.834288,200,35.522959
-1413.677577,200,35.84993
-1166.52547,200,36.005987
-1418.855942,200,36.376571
-1197.763759,200,36.758064
-1177.063458,200,37.112308
-1783.997298,200,37.446406
-1082.684627,200,37.587701
-1404.517652,200,37.900421
-1398.638845,200,38.228623
-997.843608,200,38.565386
-1068.881288,200,38.85881
-949.294645,200,38.98732
-900.341657,200,39.302936
-865.398413,200,39.596451
-893.227222,200,39.901365
-990.377737,200,40.048046
-763.656345,200,40.375293
-1031.927505,200,40.68668
-899.453867,200,41.044005
-1781.321404,200,41.363992
-1029.020661,200,41.499474
-926.386866,200,41.840043
-773.242805,200,42.147533
