#{"t_start": 1760974017.6036782, "env_id": "Pendulum-v1"}
r,l,t
-907.20381,200,0.187574
-1416.920411,200,0.514555
-1505.161767,200,0.86379
-880.142836,200,1.204391
-1362.164731,200,1.348284
-869.489745,200,1.664456
-1730.850319,200,1.978214
-1584.963707,200,2.300441
-1175.498145,200,2.608772
-1604.921134,200,2.766855
-1284.627123,200,3.159264
-868.289774,200,3.489231
-900.605753,200,3.823081
-1221.81885,200,3.955834
-1398.922735,200,4.358721
-778.34613,200,4.803215
-1527.84648,200,5.298278
-973.847218,200,5.711769
-1662.305545,200,5.919986
-905.131374,200,6.366905
-1277.376509,200,6.746777
-1273.438072,200,7.224946
-907.529115,200,7.406342
-1290.201783,200,7.796484
-1180.951604,200,8.144983
-1065.813305,200,8.491473
-1488.206582,200,8.849446
-1242.156118,200,9.010216
-1238.780496,200,9.419082
-1464.666083,200,9.851753
-1814.125949,200,10.212008
-841.730777,200,10.37203
-896.731794,200,10.719826
-1310.395771,200,11.056258
-1803.337588,200,11.461567
-1070.039022,200,11.93966
-1582.935674,200,12.122227
-1071.638664,200,12.595613
-1656.155038,200,13.028872
-885.606068,200,13.389862
-880.558263,200,13.750968
-1329.276011,200,13.902263
-1174.015537,200,14.233387
-1307.986145,200,14.606759
-1067.21428,200,14.975278
-1191.855755,200,15.133614
-1262.91622,200,15.485102
-1206.68255,200,15.827349
-857.998811,200,16.152349
-1763.62397,200,16.487369
-1179.315994,200,16.638271
-1165.702984,200,16.958269
-1541.271378,200,17.05882
-968.57325,200,17.148476
-889.870437,200,17.239842
-1802.772045,200,17.332154
