#{"t_start": 1760975493.8415325, "env_id": "Pendulum-v1"}
r,l,t
-1632.614819,200,0.155034
-1081.54731,200,0.510581
-865.425047,200,0.848002
-1009.059307,200,1.192736
-1859.434896,200,1.358472
-1680.330453,200,1.700188
-1399.197518,200,2.040976
-1304.160927,200,2.371807
-1281.693308,200,2.696751
-1067.659388,200,2.843302
-1044.134833,200,3.168738
-1342.714554,200,3.48433
-973.743876,200,3.801428
-861.311981,200,3.935563
-1390.222563,200,4.277422
-870.467534,200,4.620147
-1148.634161,200,4.939395
-1518.926779,200,5.258626
-970.68588,200,5.395758
-1871.75304,200,5.734954
-997.741199,200,6.069765
-1091.777133,200,6.390678
-1355.13855,200,6.535278
-1335.605804,200,6.863548
-1076.740255,200,7.196062
-1324.643658,200,7.536366
-1007.57035,200,7.865218
-1101.98777,200,8.015118
-1038.545347,200,8.349849
-1191.718494,200,8.667189
-1592.90612,200,8.970285
-1065.085449,200,9.122722
-828.826586,200,9.481869
-1226.672901,200,9.804353
-985.271187,200,10.127841
-1599.717413,200,10.455351
-907.78335,200,10.598174
-1794.51295,200,10.918111
-1100.59478,200,11.244874
-1591.09022,200,11.542152
-1454.893758,200,11.872111
-1262.444994,200,12.029253
-1669.931353,200,12.345332
-1370.39523,200,12.655833
-741.452782,200,12.998418
-917.500818,200,13.141667
-1194.022476,200,13.458599
-1195.017822,200,13.790765
-1026.89724,200,14.12345
-987.198278,200,14.44634
-1523.309975,200,14.607708
-1258.963781,200,14.927786
-1214.288356,200,15.241307
-1159.141887,200,15.572186
-1263.590509,200,15.720993
-1089.701855,200,16.024964
-1139.368312,200,16.356051
-940.877336,200,16.683983
-1340.610233,200,17.039984
-968.501219,200,17.197001
-1133.133778,200,17.521398
-1360.580385,200,17.844913
-1175.686539,200,18.165701
-1053.610499,200,18.310931
-1128.607259,200,18.635158
-1025.532761,200,18.977239
-1000.755893,200,19.322426
-1159.104387,200,19.651732
-917.630657,200,19.79449
-1157.304391,200,20.100668
-1046.932038,200,20.40138
-1117.979398,200,20.729612
-1056.120929,200,21.07801
-759.47615,200,21.216105
-989.869143,200,21.553232
-1188.252258,200,21.890538
-960.839736,200,22.223919
-1056.523428,200,22.380228
-1054.867413,200,22.710968
-964.932723,200,23.037005
-1015.296996,200,23.3781
-1271.489762,200,23.718974
-1024.047889,200,23.871535
-915.01443,200,24.184189
-1008.648772,200,24.529384
